127.0.0.1 - - [26/May/2020:10:41:05 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/May/2020:10:44:44 +0530] "OPTIONS /librarymanagementsystemspringrest/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/May/2020:10:44:45 +0530] "POST /librarymanagementsystemspringrest/login HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [26/May/2020:10:44:59 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/May/2020:11:04:53 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/May/2020:11:06:53 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/May/2020:11:07:47 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/May/2020:11:08:22 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/May/2020:11:19:17 +0530] "OPTIONS /librarymanagementsystemspringrest/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/May/2020:11:19:17 +0530] "POST /librarymanagementsystemspringrest/login HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [26/May/2020:11:19:38 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/May/2020:11:29:46 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/May/2020:11:30:16 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/May/2020:11:32:29 +0530] "GET /librarymanagementsystemspringrest/getBooksInfo HTTP/1.1" 200 234
